"RegistrationMark",Manufacturer,Model,Serial Number,Registered Owner,Date of Registration
VP-CTC,Bombardier,BD-700-2A12,70056,Global Air Pte. Ltd.,12/Mar/21
VP-CTH,"Gulfstream Aircraft Corporation",GIV-X (G450),4248,"Eastern Central Worldwide Inc.",13/Jun/12
VP-CTJ,Boeing,737-800,37751,Sky High XXII Leasing Company Limited,27/Jan/22
VP-CTK,Boeing,737-800,37765,Sky High XXII Leasing Company Limited,27/Jan/22
VP-CTL,"Gulfstream AircraftCorporation",GVI (G650ER),6381,WHZ Limited,21/Aug/19
VP-CTM,Bombardier,Global 7500,70054,FANAR AVIATION LTD.,29/Dec/20
VP-CTN,Airbus Industrie,A321-211,2005,UMBF Trust and Agency Services (Ireland) Limited,17/Jan/22
VP-CTO,Bombardier,"BD-700-2A12 (Global 7500)",70032,Astria Holdings Limited,27/Jan/22
VP-CTS,"Gulfstream Aircraft Corporation",GVI (G650),6082,VPCTS Ltd.,8/Aug/14
VP-CTT,Boeing,737-7ZH,38751,Phenix Jet Cayman SEZC,26/Jan/22
VP-CUA,"Gulfstream Aircraft Corporation",GV-SP (G550),5409,Cuango Ltd.,11/Jun/15
VP-CUB,Airbus Industrie,A319-132,2362,Sapphire Leasing I (AOE 3) Limited,10/Nov/21
VP-CUG,Airbus Industrie,A320-232,2299,HKAC LEASING NO. 2 LIMITED,1/Feb/22
VP-CUP,Bombardier Inc.,CL-600-2B16,5403,604 Air Limited,10/Jan/13
VP-CUW,Boeing,B737-800,29654,ACG Aircraft Leasing Ireland Limited,8/Jun/22
VP-CUX,Boeing,B737-800,29658,ACG Aircraft Leasing Ireland Limited,8/Jun/22
VP-CUY,Boeing,B737-800,29662,ACG Aircraft Leasing Ireland Limited,8/Jun/22
VP-CUZ,Boeing,B737-800,29686,ACG Aircraft Leasing Ireland Limited,8/Jun/22
VP-CVA,"Gulfstream Aircraft Corporation",GVI (G650ER),6223,SMGM HOLDINGS PTE. LTD.,1/Mar/22
VP-CVD,Boeing,787-9,37307,FW Aviation (Holdings) 37307 Limited,7/Mar/22
VP-CVE,Boeing,787-9,37308,FW AVIATION (HOLDINGS) 37308 LIMITED,7/Mar/22
VP-CVF,Boeing,787-9,37931,FW Aviation (Holdings) 37931 Limited,4/Nov/21
VP-CVG,Boeing,787-9,62082,FW Aviation (Holdings) 62082 Limited,4/Nov/21
VP-CVI,"Gulfstream Aircraft Corporation",GVI (G650),6121,Oceanwind,16/Jun/15
VP-CVK,"Gulfstream Aircraft Corporation",GV-SP (G550),5092,Oceanwind,20/Mar/15
VP-CVL,Boeing,737-8,35304,Purple Orchid LLC,26/Jan/22
VP-CVM,Boeing,787-8,35305,Purple Orchid LLC,26/Jan/22
VP-CVP,Boeing,737-8LX,39899,EAGLE RAISE LIMITED,18/May/20
VP-CVS,Dassault Aviation,F900EX,230,Dunard Engineering Ltd.,27/Nov/19
VP-CVV,Bombardier,CL-600-2B16,5856,Mass Aviation Limited,4/Feb/21
