Информацията е актуална към 10.06.2022 г.,,,,,,
Рег. №,Дата на регистрация,Модел,Сериен №,Рег. знак,Категория ВС,Основание за придобиване на права
2520,17.10.2014,Cessna 172 N,172-72952,LZ-SPC,Small Aeroplane,Purchase and Sale Agreement
2516,29.9.2014,Cessna F 172N,F17201927,LZ-APR,Small Aeroplane,Lease contract
2113,26.9.2014,PA 28-201,28-7921087,LZ-SVI,Small Aeroplane,Lease contract
2179,31.7.2014,Cessna 152,152-81123,LZ-BVC,Small Aeroplane,Purchase and Sale Agreement
2169,10.6.2014,R44 Raven,1713,LZ-HAP,Small Rotorcraft,Purchase and Sale Agreement
2496,02.6.2014,MTOsport,D07G30,LZ-BBV,Gyroplane,Purchase and Sale Agreement
2495,31.5.2014,P92-JS,00131,LZ-DBF,Very Light Aeroplane,Purchase and Sale Agreement
2491,28.4.2014,PA-34-220T (Seneca III),3433171,LZ-SPA,Small Aeroplane,Purchase and Sale Agreement
2481,13.3.2014,Antonov An-2,1G12905,LZ-1207,Small Aeroplane,Purchase and Sale Agreement
2479,07.3.2014,ZODIAC CH601,608-025,LZ-ASN,Experimental,Purchase and Sale Agreement
2201,25.2.2014,Antonov An-2,1G14546,LZ-1117,Small Aeroplane,Purchase and Sale Agreement
2469,19.2.2014,CF300 Prime,BPU007-13,LZ-XIX,Very Light Aeroplane,Purchase and Sale Agreement
2471,22.1.2014,TL3000 Sirius,13 SI 89,LZ-DVT,Very Light Aeroplane,Purchase and Sale Agreement
2458,27.11.2013,Boeing 737-400,26306,LZ-CGS,Large Aeroplane,Lease contract
2395,08.11.2013,Learjet 60,60-329,LZ-BVE,Large Aeroplane,Purchase and Sale Agreement
2459,04.11.2013,M-18A Dromader,1Z021-3,LZ-KEC,Small Aeroplane,Purchase and Sale Agreement
2457,15.10.2013,Gyroplane NN-09,O9-O1,LZ-NKA,Gyroplane,Purchase and Sale Agreement
2456,15.10.2013,Gyroplane NN-04,O4-O1,LZ-NKO,Gyroplane,Purchase and Sale Agreement
2455,10.10.2013,Diamond DA 42,42.143,LZ-MCI,Small Aeroplane,Purchase and Sale Agreement
2454,28.9.2013,BRISTЕLL UL,035/2012,LZ-COT,Very Light Aeroplane,Purchase and Sale Agreement
2451,30.8.2013,Alpha Trainer,564 AT 912,LZ-AAT,Very Light Aeroplane,Purchase and Sale Agreement
2447,14.8.2013,Jabiru UL,PFA 274-13322,LZ-JAB,Very Light Aeroplane,Purchase and Sale Agreement
2446,26.7.2013,Tanarg 912 ES,T13020,LZ-WOL,Motor-hanglider,Purchase and Sale Agreement
2445,23.7.2013,Cessna F 172K,F17200781,LZ-ILO,Small Aeroplane,Purchase and Sale Agreement
2429,09.7.2013,Boeing 737-400,24474,LZ-CGR,Large Aeroplane,Lease contract
2432,07.6.2013,Antonov An-2,1G11940,LZ-1211,Small Aeroplane,Purchase and Sale Agreement
2426,18.4.2013,Antonov An-2,1G16611,LZ-1160,Small Aeroplane,Purchase and Sale Agreement
II-135,01.11.2012,TL-2000 Sting S4,12 ST 393,LZ-TRD,Very Light Aeroplane,Purchase and Sale Agreement
2410,25.10.2012,Cessna F172P,17202045,LZ-RDT,Small Aeroplane,Purchase and Sale Agreement
2130,28.9.2012,M-18 Dromader,1Z-009-24,LZ-8012,Small Aeroplane,Purchase and Sale Agreement
II-133,21.9.2012,CT LS,F-08-06-05,LZ-MMS,Very Light Aeroplane,Purchase and Sale Agreement
2399,17.7.2012,Antonov An-2,1G21316,LZ-1225,Small Aeroplane,Lease contract
2396,14.7.2012,Piper PA34-200T,34-8170041,LZ-TLU,Small Aeroplane,Purchase and Sale Agreement
2391,12.6.2012,ATL L,3,LZ-DXS,Small Aeroplane,Purchase and Sale Agreement
2390,11.6.2012,Cessna 182 P,182-61091,LZ-AIB,Small Aeroplane,Purchase and Sale Agreement
2389,11.6.2012,Cessna 150L,15075558,LZ-TTE,Small Aeroplane,Purchase and Sale Agreement
2388,05.6.2012,Cessna 172N,17269692,LZ-AIA,Small Aeroplane,Purchase and Sale Agreement
2387,04.6.2012,Cessna 172N,172-70544,LZ-GAS,Small Aeroplane,Purchase and Sale Agreement
2384,30.5.2012,Cessna F172N,F17201836,LZ-SPP,Small Aeroplane,Purchase and Sale Agreement
2383,30.5.2012,Cessna F172M,F17200937,LZ-SPV,Small Aeroplane,Purchase and Sale Agreement
2382,30.5.2012,Cessna 172N,17270323,LZ-SPT,Small Aeroplane,Purchase and Sale Agreement
2364,30.3.2012,Boeing 737-300,25614,LZ-CGQ,Large Aeroplane,Lease contract
2355,21.12.2011,P92-JS,00057,LZ-BVG,Very Light Aeroplane,Purchase and Sale Agreement
2350,25.10.2011,Z-37A,2028,LZ-3103,Small Aeroplane,Purchase and Sale Agreement
2349,17.10.2011,P2006T,00082,LZ-TMH,Small Aeroplane,Purchase and Sale Agreement
2348,13.10.2011,Cessna 175A,56767,LZ-CTO,Small Aeroplane,Purchase and Sale Agreement
2336,07.9.2011,Cessna 182 M,182-59666,LZ-BVP,Small Aeroplane,Purchase and Sale Agreement
2339,19.7.2011,L-410 UVP-E20,72621,LZ-CCQ,Large Aeroplane,Purchase and Sale Agreement
2331,10.5.2011,Z-37A,727,LZ-BCB,Small Aeroplane,Purchase and Sale Agreement
2333,18.4.2011,Kamov Ka-26,7705906,LZ-6061,Rotorcraft,Purchase and Sale Agreement
2332,15.4.2011,PA 28-151,28-7415538,LZ-SPS,Small Aeroplane,Purchase and Sale Agreement
2301,27.7.2010,Boeing 737-300,23970,LZ-CGP,Large Aeroplane,Lease contract
2293,26.5.2010,Kamov Ka-26,7605509,LZ-6048,Rotorcraft,Purchase and Sale Agreement
2280,07.4.2010,L-410 UVP-E20,02720,LZ-CCV,Large Aeroplane,Purchase and Sale Agreement
2273,16.9.2009,Grumman AA-5,202,LZ-LLS,Small Aeroplane,Purchase and Sale Agreement
2266,10.7.2009,L 410 UVP-E20,902425,LZ-CCS,Large Aeroplane,Purchase and Sale Agreement
2269,08.7.2009,M20R,29-0441,LZ-SPY,Small Aeroplane,Purchase and Sale Agreement
2260,13.4.2009,R44 Astro,181,LZ-KMK,Small Rotorcraft,Purchase and Sale Agreement
2259,06.4.2009,Z-37A,1727,LZ-3110,Small Aeroplane,Purchase and Sale Agreement
2255,30.3.2009,L-410 UVP-E20,912528,LZ-CCT,Large Aeroplane,Purchase and Sale Agreement
2242,05.1.2009,M-18A Dromader,1Z021-17,LZ-KEB,Small Aeroplane,Purchase and Sale Agreement
2211,30.7.2008,Boeing 737-300,23237,LZ-CGO,Large Aeroplane,Purchase and Sale Agreement
2202,04.6.2008,Diamond DA 42,42.362,LZ-IDL,Small Aeroplane,Lease contract
2180,22.10.2007,M-18 Dromader,1Z-009-29,LZ-8017,Small Aeroplane,Purchase and Sale Agreement
2128,22.3.2007,L-410 UVP-E20,912540,LZ-CCP,Large Aeroplane,Purchase and Sale Agreement
2145,01.3.2007,Antonov An-2,1G16701,LZ-1262,Small Aeroplane,Purchase and Sale Agreement
2144,01.3.2007,Antonov An-2,1G16613,LZ-1162,Small Aeroplane,Purchase and Sale Agreement
2129,20.12.2006,Antonov An-2,1G20622,LZ-VLE,Small Aeroplane,Purchase and Sale Agreement
2083,11.7.2006,Antonov An-2,1G9205,LZ-1057,Small Aeroplane,Purchase and Sale Agreement
2053,13.3.2006,Z-37A,1729,LZ-BCA,Small Aeroplane,Purchase and Sale Agreement
2048,14.2.2006,Antonov An-2,1G5522,LZ-916,Small Aeroplane,Purchase and Sale Agreement
2020,16.11.2005,Antonov An-2,1G20254,LZ-1505,Small Aeroplane,Purchase and Sale Agreement
2001,10.6.2005,Antonov An-2,1G16005,LZ-1146,Small Aeroplane,Lease contract
1960,18.3.2005,Antonov An-2,1G19505,LZ-VLC,Small Aeroplane,Purchase and Sale Agreement
1938,18.1.2005,Antonov An-2,1G5509,LZ-VBC,Small Aeroplane,Purchase and Sale Agreement
1937,18.1.2005,Antonov An-2,1G9204,LZ-VBB,Small Aeroplane,Purchase and Sale Agreement
1779,25.11.2003,Z-37,21-20,LZ-GPG,Small Aeroplane,Purchase and Sale Agreement
1725,04.2.2003,M-18 Dromader,1Z-009-12,LZ-8008,Small Aeroplane,Purchase and Sale Agreement
1562,13.3.2001,Antonov An-2,1G18157,LZ-1187,Small Aeroplane,Purchase and Sale Agreement
1290,16.4.1999,Antonov An-2,1G16615,LZ-1164,Small Aeroplane,Purchase and Sale Agreement
1212,27.4.1998,Antonov An-2,1G16356,LZ-1251,Small Aeroplane,Purchase and Sale Agreement
1182,05.11.1997,Antonov An-2,1G19513,LZ-VLD,Small Aeroplane,Purchase and Sale Agreement
1102,03.4.1996,Antonov An-2,1G19036,LZ-VLB,Small Aeroplane,Purchase and Sale Agreement
1092,14.7.1995,Antonov An-2,1G18948,LZ-VLA,Small Aeroplane,Purchase and Sale Agreement
1078,30.3.1995,Z-37A,2004,LZ-3107,Small Aeroplane,Purchase and Sale Agreement
1075,30.3.1995,Z-37A,1813,LZ-3104,Small Aeroplane,Purchase and Sale Agreement
1073,30.3.1995,Z-37A,2103,LZ-3102,Small Aeroplane,Purchase and Sale Agreement
