Aircraft_name;Legal_Basis;Aircraft_model_category;Minimum_Crew;Maximum_Passengers;MTOM_kg;ELA1_flag;ELA2_flag;Complex_aircraft;Number_of_engines;Count_of_Propellers;ICAO;Aircraft_Construction_Year;Initial_Registration_Date;Import_Previous_country;Engine_1_Manufacturer;Engine_1;Engine_2_Manufacturer;Engine_2;Engine_3_Manufacturer;Engine_3;Engine_4_Manufacturer;Engine_4;
"Rallye 110ST";"EASA";"Airplanes";"1";"";"770,00";"True";"False";"False";"1";"1";"RALL";"1981";"21.12.2011";"Germany";"Textron Lycoming";"Lycoming O-235-L2A";"";"";"";"";"";"";
"RALLYE 150 T";"EASA";"Airplanes";"1";"3";"950,00";"True";"False";"False";"1";"1";"RALL";"1975";"20.09.1976";"France";"Textron Lycoming";"Lycoming O-320-E2A";"";"";"";"";"";"";
"Rallye 235 E";"EASA";"Airplanes";"1";"3";"1200,00";"True";"False";"False";"1";"1";"RALL";"1976";"29.12.1976";"France";"Textron Lycoming";"Lycoming O-540-B4B5";"";"";"";"";"";"";
"Rallye 235 E-D";"EASA";"Airplanes";"1";"3";"1200,00";"True";"False";"False";"1";"1";"RALL";"1976";"";"Germany";"Textron Lycoming";"Lycoming O-540-B4B5";"";"";"";"";"";"";
"Rallye MS 880B Long Nose";"Annex I";"Airplanes";"1";"3";"825,00";"False";"False";"False";"1";"1";"EXPE";"2019";"04.07.1972";"";"Bombardier-Rotax GmbH";"Rotax 914 F4";"";"";"";"";"";"";
"Rand KR-2";"Annex I";"Airplanes";"1";"1";"470,00";"False";"False";"False";"1";"1";"EXPE";"2000";"09.06.2008";"";"Experimental";"Volkswagen VW 1900";"";"";"";"";"";"";
"Rans Courier S-7 L";"Annex I";"Ultralights";"1";"1";"414,00";"False";"False";"False";"1";"1";"ULAC";"1990";"04.08.1994";"";"Bombardier-Rotax GmbH";"Rotax 503";"";"";"";"";"";"";
"Rans S10 Sakota";"Annex I";"Airplanes";"1";"1";"544,00";"False";"False";"False";"1";"1";"SAKO";"1992";"26.10.1993";"";"Bombardier-Rotax GmbH";"Rotax 912 UL";"";"";"";"";"";"";
"Rans S10 Sakota";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"2003";"14.07.2004";"";"Sportavia Limbach";"Limbach L 2000 EB 1.A";"";"";"";"";"";"";
"Rans S-7";"Annex I";"Ultralights";"1";"1";"500,00";"False";"False";"False";"1";"1";"ULAC";"1996";"17.07.2008";"Italy";"Bombardier-Rotax GmbH";"Rotax 912 UL";"";"";"";"";"";"";
