Aircraft_name;Legal_Basis;Aircraft_model_category;Minimum_Crew;Maximum_Passengers;MTOM_kg;ELA1_flag;ELA2_flag;Complex_aircraft;Number_of_engines;Count_of_Propellers;ICAO;Aircraft_Construction_Year;Initial_Registration_Date;Import_Previous_country;Engine_1_Manufacturer;Engine_1;Engine_2_Manufacturer;Engine_2;Engine_3_Manufacturer;Engine_3;Engine_4_Manufacturer;Engine_4;
"150 XL";"Annex I";"Airplanes";"1";"1";"850,00";"False";"False";"False";"1";"1";"EXPE";"1968";"29.06.1987";"";"Textron Lycoming";"Lycoming IO-320-B1A";"";"";"";"";"";"";
"150D Mod.";"Annex I";"Airplanes";"1";"1";"726,00";"False";"False";"False";"1";"1";"C150";"1964";"29.08.1983";"";"Teledyne Continental";"Continental O-200-A";"";"";"";"";"";"";
"175C";"Annex I";"Airplanes";"1";"3";"1111,00";"False";"False";"False";"1";"1";"EXPE";"1962";"04.05.1992";"Sweden";"Textron Lycoming";"Lycoming IO-360-A1A";"";"";"";"";"";"";
"369D";"EASA";"Helicopters";"1";"4";"1610,00";"False";"False";"False";"1";"";"H500";"1981";"18.05.2016";"Sweden";"Allison Gas Turbine Division (G.M.C)";"Allison 250-C20B";"";"";"";"";"";"";
"369D";"EASA";"Helicopters";"1";"4";"1610,00";"False";"False";"False";"1";"";"H500";"1980";"23.01.2008";"Italy";"Allison Gas Turbine Division (G.M.C)";"Allison 250-C20B";"";"";"";"";"";"";
"369D";"EASA";"Helicopters";"1";"4";"1610,00";"False";"False";"False";"1";"";"H500";"1977";"11.06.2013";"Sweden";"Allison Gas Turbine Division (G.M.C)";"Allison 250-C20B";"";"";"";"";"";"";
"480 B";"EASA";"Helicopters";"1";"0";"1361,00";"False";"False";"False";"1";"";"EN48";"2005";"26.07.2013";"Slovenia";"Rolls-Royce Ltd";"250-C20W";"";"";"";"";"";"";
"680FL";"EASA";"Airplanes";"1";"10";"3855,00";"False";"False";"False";"2";"2";"AC68";"1963";"11.07.1984";"Estonia";"AVCO Lycoming Division";"IGSO-540-B1A";"AVCO Lycoming Division";"IGSO-540-B1A";"";"";"";"";
"892A Mod.";"Annex I";"Airplanes";"1";"3";"980,00";"False";"False";"False";"1";"1";"RALL";"1970";"07.01.1971";"France";"Textron Lycoming";"Lycoming XP-360-A1A";"";"";"";"";"";"";
"8GCBC Mod.";"Annex I";"Airplanes";"1";"1";"976,00";"False";"False";"False";"1";"1";"BL8";"1974";"09.05.2007";"";"Textron Lycoming";"Lycoming O-360-C2E";"";"";"";"";"";"";
"A152 Mod.";"Annex I";"Airplanes";"1";"1";"850,00";"False";"False";"False";"1";"1";"C152";"1978";"22.06.2006";"";"Textron Lycoming";"Lycoming O-320-D2A";"";"";"";"";"";"";
"A-22L";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"2007";"07.05.2008";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A-22L";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"2009";"11.06.2009";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 UL";"";"";"";"";"";"";
"A-22L";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"2009";"10.07.2009";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A-22L";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"2009";"10.07.2009";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A-22L";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"2009";"28.10.2009";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A-22L";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"2009";"26.01.2010";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A-22L";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"2009";"26.01.2010";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A-22L";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"2009";"26.01.2010";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A-22L";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"2009";"12.11.2009";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A-22L";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"2009";"12.11.2009";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A-22L";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"2006";"16.03.2012";"Lithuania";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A-22L2";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"2013";"04.04.2013";"";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A-22L2";"Annex I";"Ultralights";"1";"1";"473,00";"False";"False";"False";"1";"1";"ULAC";"2011";"15.07.2011";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A-22L2";"Annex I";"Ultralights";"1";"1";"473,00";"False";"False";"False";"1";"1";"ULAC";"2011";"26.07.2011";"Hungary";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A-22L2";"Annex I";"Ultralights";"1";"1";"473,00";"False";"False";"False";"1";"1";"ULAC";"2020";"25.03.2020";"Ukraine";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"A319-112";"EASA";"Airplanes";"2";"126";"70000,00";"False";"False";"True";"2";"";"A319";"2000";"06.09.2000";"Germany";"CFM International";"CFM56-5B6/P";"CFM International";"CFM56-5B6/P";"";"";"";"";
"A319-112";"EASA";"Airplanes";"2";"126";"70000,00";"False";"False";"True";"2";"";"A319";"2000";"06.11.2000";"Germany";"CFM International";"CFM56-5B6/P";"CFM International";"CFM56-5B6/P";"";"";"";"";
"A319-112";"EASA";"Airplanes";"2";"126";"68000,00";"False";"False";"True";"2";"";"A319";"2000";"13.06.2003";"Ireland";"CFM International";"CFM56-5B6/P";"CFM International";"CFM56-5B6/P";"";"";"";"";
"A319-112";"EASA";"Airplanes";"2";"126";"68000,00";"False";"False";"True";"2";"";"A319";"2000";"25.07.2003";"Belgium";"CFM International";"CFM56-5B6/P";"CFM International";"CFM56-5B6/P";"";"";"";"";
"A319-112";"EASA";"Airplanes";"2";"126";"70000,00";"False";"False";"True";"2";"";"A319";"2004";"29.03.2004";"Germany";"CFM International";"CFM56-5B6/P";"CFM International";"CFM56-5B6/P";"";"";"";"";
"A319-112";"EASA";"Airplanes";"2";"126";"70000,00";"False";"False";"True";"2";"";"A319";"2004";"03.09.2004";"Germany";"CFM International";"CFM56-5B6/P";"CFM International";"CFM56-5B6/2P";"";"";"";"";
"A32";"Annex I";"Ultralights";"1";"1";"600,00";"False";"False";"False";"1";"1";"ULAC";"2021";"07.01.2022";"Poland";"";"Rotax 912 ULS";"";"";"";"";"";"";
"A320-214";"EASA";"Airplanes";"2";"144";"75500,00";"False";"False";"True";"2";"";"A320";"2001";"02.03.2001";"France";"CFM International";"CFM56-5B4/2P";"CFM International";"CFM56-5B4/2P";"";"";"";"";
"A320-214";"EASA";"Airplanes";"2";"144";"75500,00";"False";"False";"True";"2";"";"A320";"2001";"01.06.2001";"France";"CFM International";"CFM56-5B4/P";"CFM International";"CFM56-5B4/P";"";"";"";"";
"A320-214";"EASA";"Airplanes";"2";"144";"75500,00";"False";"False";"True";"2";"";"A320";"2001";"13.09.2001";"France";"CFM International";"CFM56-5B4/P";"CFM International";"CFM56-5B4/P";"";"";"";"";
"A320-214";"EASA";"Airplanes";"2";"144";"75500,00";"False";"False";"True";"2";"";"A320";"2001";"06.11.2001";"France";"CFM International";"CFM56-5B4/P";"CFM International";"CFM56-5B4/2P";"";"";"";"";
"A320-214";"EASA";"Airplanes";"2";"144";"75500,00";"False";"False";"True";"2";"";"A320";"2002";"05.03.2002";"France";"CFM International";"CFM56-5B4/P";"CFM International";"CFM56-5B4/2P";"";"";"";"";
"A320-214";"EASA";"Airplanes";"2";"144";"73500,00";"False";"False";"True";"2";"";"A320";"2003";"20.01.2003";"France";"CFM International";"CFM56-5B4/P";"CFM International";"CFM56-5B4/P";"";"";"";"";
"A320-214";"EASA";"Airplanes";"2";"144";"73500,00";"False";"False";"True";"2";"";"A320";"2003";"07.05.2003";"France";"CFM International";"CFM56-5B4/P";"CFM International";"CFM56-5B4/P";"";"";"";"";
"A320-214";"EASA";"Airplanes";"2";"144";"73500,00";"False";"False";"True";"2";"";"A320";"2003";"17.09.2003";"France";"CFM International";"CFM56-5B4/P";"CFM International";"CFM56-5B4/P";"";"";"";"";
"A320-214";"EASA";"Airplanes";"2";"144";"73500,00";"False";"False";"True";"2";"";"A320";"2003";"22.12.2003";"France";"CFM International";"CFM56-5B4/P";"CFM International";"CFM56-5B4/P";"";"";"";"";
"A320-214";"EASA";"Airplanes";"2";"144";"73500,00";"False";"False";"True";"2";"";"A320";"2004";"09.02.2004";"France";"CFM International";"CFM56-5B4/P";"CFM International";"CFM56-5B4/P";"";"";"";"";
"A321-211";"EASA";"Airplanes";"2";"178";"89000,00";"False";"False";"True";"2";"";"A321";"1999";"05.02.1999";"Germany";"CFM International";"CFM56-5B3/P";"CFM International";"CFM56-5B3/P";"";"";"";"";
"A321-211";"EASA";"Airplanes";"2";"178";"89000,00";"False";"False";"True";"2";"";"A321";"1999";"08.03.1999";"Germany";"CFM International";"CFM56-5B3/P";"CFM International";"CFM56-5B3/P";"";"";"";"";
"A321-211";"EASA";"Airplanes";"2";"178";"89000,00";"False";"False";"True";"2";"";"A321";"2000";"14.03.2000";"Germany";"CFM International";"CFM56-5B3/P";"CFM International";"CFM56-5B3/P";"";"";"";"";
"A321-211";"EASA";"Airplanes";"2";"178";"89000,00";"False";"False";"True";"2";"";"A321";"2000";"16.06.2000";"Germany";"CFM International";"CFM56-5B3/2P";"CFM International";"CFM56-5B3/2P";"";"";"";"";
"A321-211";"EASA";"Airplanes";"2";"178";"89000,00";"False";"False";"True";"2";"";"A321";"2003";"30.05.2003";"Germany";"CFM International";"CFM56-5B3/P";"CFM International";"CFM56-5B3/P";"";"";"";"";
"A321-211";"EASA";"Airplanes";"2";"178";"83900,00";"False";"False";"True";"2";"";"A321";"2004";"20.04.2004";"Germany";"CFM International";"CFM56-5B3/2P";"CFM International";"CFM56-5B3/2P";"";"";"";"";
"A321-231";"EASA";"Airplanes";"2";"220";"93500,00";"False";"False";"True";"2";"";"A321";"2013";"05.09.2013";"Germany";"International Aero Engines (IAE)";"IAE V2533-A5";"International Aero Engines (IAE)";"IAE V2533-A5";"";"";"";"";
"A321-231";"EASA";"Airplanes";"2";"220";"93500,00";"False";"False";"True";"2";"";"A321";"2013";"17.10.2013";"Germany";"International Aero Engines (IAE)";"IAE V2533-A5";"International Aero Engines (IAE)";"IAE V2533-A5";"";"";"";"";
"A321-231";"EASA";"Airplanes";"2";"220";"93500,00";"False";"False";"True";"2";"";"A321";"2013";"20.12.2013";"Germany";"International Aero Engines (IAE)";"IAE V2533-A5";"International Aero Engines (IAE)";"IAE V2533-A5";"";"";"";"";
"A321-231";"EASA";"Airplanes";"2";"220";"93500,00";"False";"False";"True";"2";"";"A321";"2014";"10.02.2014";"Germany";"International Aero Engines (IAE)";"IAE V2533-A5";"International Aero Engines (IAE)";"IAE V2533-A5";"";"";"";"";
"A321-231";"EASA";"Airplanes";"2";"220";"93500,00";"False";"False";"True";"2";"";"A321";"2014";"30.04.2014";"Germany";"International Aero Engines (IAE)";"IAE V2533-A5";"International Aero Engines (IAE)";"IAE V2533-A5";"";"";"";"";
"A321-231";"EASA";"Airplanes";"2";"220";"89000,00";"False";"False";"True";"2";"";"A321";"2017";"23.02.2017";"";"International Aero Engines (IAE)";"IAE V2533-A5";"International Aero Engines (IAE)";"IAE V2533-A5";"";"";"";"";
"A321-231";"EASA";"Airplanes";"2";"220";"89000,00";"False";"False";"True";"2";"";"A321";"2017";"20.03.2017";"Germany";"International Aero Engines (IAE)";"IAE V2533-A5";"International Aero Engines (IAE)";"IAE V2533-A5";"";"";"";"";
"A321-231";"EASA";"Airplanes";"2";"220";"89000,00";"False";"False";"True";"2";"";"A321";"2017";"06.04.2017";"Germany";"International Aero Engines (IAE)";"IAE V2533-A5";"International Aero Engines (IAE)";"IAE V2533-A5";"";"";"";"";
"A321-231";"EASA";"Airplanes";"2";"220";"89000,00";"False";"False";"True";"2";"";"A321";"2017";"08.05.2017";"Germany";"International Aero Engines (IAE)";"IAE V2533-A5";"International Aero Engines (IAE)";"IAE V2533-A5";"";"";"";"";
"A321-231";"EASA";"Airplanes";"2";"220";"89000,00";"False";"False";"True";"2";"";"A321";"2017";"17.11.2017";"Germany";"International Aero Engines (IAE)";"IAE V2533-A5";"International Aero Engines (IAE)";"IAE V2533-A5";"";"";"";"";
"A321-231";"EASA";"Airplanes";"2";"220";"89000,00";"False";"False";"True";"2";"";"A321";"2017";"29.12.2017";"Germany";"International Aero Engines (IAE)";"IAE V2533-A5";"International Aero Engines (IAE)";"IAE V2533-A5";"";"";"";"";
"A321-231";"EASA";"Airplanes";"2";"220";"89000,00";"False";"False";"True";"2";"";"A321";"2017";"15.12.2017";"Germany";"International Aero Engines (IAE)";"IAE V2533-A5";"International Aero Engines (IAE)";"IAE V2533-A5";"";"";"";"";
"A321-231";"EASA";"Airplanes";"2";"220";"89000,00";"False";"False";"True";"2";"";"A321";"2018";"27.07.2018";"Germany";"International Aero Engines (IAE)";"IAE V2533-A5";"International Aero Engines (IAE)";"IAE V2533-A5";"";"";"";"";
"A330-302";"EASA";"Airplanes";"2";"271";"233000,00";"False";"False";"True";"2";"";"A333";"2009";"27.03.2009";"France";"General Electric Co.";"GE CF6-80E1A4/B";"General Electric Co.";"GE CF6-80E1A4/B";"";"";"";"";
"A330-302";"EASA";"Airplanes";"2";"271";"233000,00";"False";"False";"True";"2";"";"A333";"2009";"27.04.2009";"France";"General Electric Co.";"GE CF6-80E1A4/B";"General Electric Co.";"GE CF6-80E1A4/B";"";"";"";"";
"A330-302";"EASA";"Airplanes";"2";"271";"233000,00";"False";"False";"True";"2";"";"A333";"2009";"18.05.2009";"France";"General Electric Co.";"GE CF6-80E1A4/B";"General Electric Co.";"GE CF6-80E1A4/B";"";"";"";"";
"A330-302";"EASA";"Airplanes";"2";"271";"233000,00";"False";"False";"True";"2";"";"A333";"2009";"22.06.2009";"France";"General Electric Co.";"GE CF6-80E1A4/B";"General Electric Co.";"GE CF6-80E1A4/B";"";"";"";"";
"A330-302";"EASA";"Airplanes";"2";"271";"233000,00";"False";"False";"True";"2";"";"A333";"2009";"18.12.2009";"France";"General Electric Co.";"GE CF6-80E1A4/B";"General Electric Co.";"GE CF6-80E1A4/B";"";"";"";"";
"A330-302";"EASA";"Airplanes";"2";"271";"233000,00";"False";"False";"True";"2";"";"A333";"2010";"12.02.2010";"France";"General Electric Co.";"GE CF6-80E1A4/B";"General Electric Co.";"GE CF6-80E1A4/B";"";"";"";"";
"A330-302";"EASA";"Airplanes";"2";"271";"233000,00";"False";"False";"True";"2";"";"A333";"2010";"19.04.2010";"France";"General Electric Co.";"GE CF6-80E1A4/B";"General Electric Co.";"GE CF6-80E1A4/B";"";"";"";"";
"A330-302";"EASA";"Airplanes";"2";"271";"233000,00";"False";"False";"True";"2";"";"A333";"2010";"29.11.2010";"France";"General Electric Co.";"GE CF6-80E1A4/B";"General Electric Co.";"GE CF6-80E1A4/B";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2015";"06.10.2015";"France";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2015";"14.12.2015";"France";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2015";"31.12.2015";"";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2016";"25.03.2016";"";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2016";"29.04.2016";"France";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2016";"24.06.2016";"France";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2016";"29.09.2016";"";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2017";"03.04.2017";"France";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2017";"02.06.2017";"France";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2017";"30.06.2017";"France";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2017";"22.09.2017";"France";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2018";"13.12.2018";"France";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2019";"12.02.2019";"France";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2019";"11.04.2019";"France";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2020";"05.02.2020";"France";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2020";"01.09.2020";"France";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"A350-941";"EASA";"Airplanes";"2";"385";"268000,00";"False";"False";"True";"2";"";"A359";"2021";"29.12.2021";"France";"Rolls-Royce Plc";"Trent XWB-84";"Rolls-Royce Plc";"Trent XWB-84";"";"";"";"";
"AA-1";"EASA";"Airplanes";"1";"1";"680,00";"True";"False";"False";"1";"1";"AA1";"1970";"21.07.1972";"";"Textron Lycoming";"Lycoming O-235-C2C";"";"";"";"";"";"";
"AA-1";"EASA";"Airplanes";"1";"1";"680,00";"True";"False";"False";"1";"1";"AA1";"1970";"16.12.1970";"United States";"Textron Lycoming";"Lycoming O-235-C2C";"";"";"";"";"";"";
"AA-1A";"EASA";"Airplanes";"1";"1";"680,00";"True";"False";"False";"1";"1";"AA1";"1971";"28.06.1971";"";"Textron Lycoming";"Lycoming O-235-C2C";"";"";"";"";"";"";
"AA-1A";"EASA";"Airplanes";"1";"1";"680,00";"True";"False";"False";"1";"1";"AA1";"1971";"29.05.1972";"United States";"Textron Lycoming";"Lycoming O-235-C2C";"";"";"";"";"";"";
"AA-5";"EASA";"Airplanes";"1";"3";"998,00";"True";"False";"False";"1";"1";"AA5";"1972";"29.01.1973";"";"Textron Lycoming";"Lycoming O-320-E2G";"";"";"";"";"";"";
"AA-5";"EASA";"Airplanes";"1";"3";"998,00";"True";"False";"False";"1";"1";"AA5";"1974";"17.01.1974";"United States";"Textron Lycoming";"Lycoming O-320-D2A";"";"";"";"";"";"";
"AA-5";"EASA";"Airplanes";"1";"3";"998,00";"True";"False";"False";"1";"1";"AA5";"1975";"08.08.1975";"United States";"Textron Lycoming";"Lycoming O-320-E2G";"";"";"";"";"";"";
"AA-5";"EASA";"Airplanes";"1";"3";"998,00";"True";"False";"False";"1";"1";"AA5";"1975";"08.08.1975";"";"Textron Lycoming";"Lycoming O-320-E2G";"";"";"";"";"";"";
"AA-5B";"EASA";"Airplanes";"1";"3";"1089,00";"True";"False";"False";"1";"1";"AA5";"1976";"05.08.1976";"United States";"Textron Lycoming";"Lycoming O-360-A4K";"";"";"";"";"";"";
"AA-5B";"EASA";"Airplanes";"1";"3";"1089,00";"True";"False";"False";"1";"1";"AA5";"1978";"15.10.2007";"United States";"Textron Lycoming";"Lycoming O-360-A4K";"";"";"";"";"";"";
"Acey Deucy P-70";"Annex I";"Airplanes";"1";"1";"640,00";"False";"False";"False";"1";"1";"EXPE";"1988";"28.09.1989";"";"Textron Lycoming";"Lycoming O-235-C2A";"";"";"";"";"";"";
"Agusta Bell 206B";"EASA";"Helicopters";"1";"4";"1451,00";"False";"False";"False";"1";"";"B06";"1977";"09.03.1987";"";"Allison Gas Turbine Division (G.M.C)";"Allison 250-C20";"";"";"";"";"";"";
"Agusta Bell 206B";"EASA";"Helicopters";"1";"4";"1450,00";"False";"False";"False";"1";"";"B06";"1989";"14.12.1989";"";"Allison Gas Turbine Division (G.M.C)";"Allison 250-C20J";"";"";"";"";"";"";
"Agusta Bell 412";"Others";"Helicopters";"1";"13";"5398,00";"False";"False";"False";"2";"";"B412";"1985";"10.12.1985";"";"Pratt & Whitney Canada Inc.";"PT6T-3B";"Pratt & Whitney Canada Inc.";"PT6T-3B";"";"";"";"";
"Agusta Bell 412";"Others";"Helicopters";"1";"13";"5398,00";"False";"False";"False";"2";"";"B412";"1986";"30.01.1987";"";"Pratt & Whitney Canada Inc.";"PT6T-3B";"Pratt & Whitney Canada Inc.";"PT6T-3B";"";"";"";"";
"Agusta Bell 412";"Others";"Helicopters";"1";"13";"5398,00";"False";"False";"False";"2";"";"B412";"1990";"08.08.1990";"";"Pratt & Whitney Canada Inc.";"PT6T-3B";"Pratt & Whitney Canada Inc.";"PT6T-3B";"";"";"";"";
"Agusta Bell 412 EP";"Others";"Helicopters";"1";"14";"5398,00";"False";"False";"False";"2";"";"B412";"1996";"16.12.1996";"Italy";"Pratt & Whitney Canada Inc.";"PT6T-3D";"Pratt & Whitney Canada Inc.";"PT6T-3D";"";"";"";"";
"Akka";"Annex I";"Ultralights";"1";"1";"408,00";"False";"False";"False";"1";"1";"ULAC";"1984";"16.07.2020";"Sweden";"Bombardier-Rotax GmbH";"Rotax 582";"";"";"";"";"";"";
"ALPHA Electro";"Annex I";"Ultralights";"1";"1";"550,00";"False";"False";"False";"1";"1";"ULAC";"2018";"20.06.2018";"";"PIPISTREL d.o.o. Ajdov??ina";"PEM 60MVLC";"";"";"";"";"";"";
"ALPHA Trainer";"Annex I";"Ultralights";"1";"1";"472,50";"False";"False";"False";"1";"1";"ULAC";"2013";"05.02.2014";"Slovenia";"BRP-Powertrain GmbH & Co KG";"Rotax 912 UL";"";"";"";"";"";"";
"ALPHA Trainer";"Annex I";"Ultralights";"1";"1";"472,50";"False";"False";"False";"1";"1";"ULAC";"2014";"17.04.2014";"Slovenia";"BRP-Powertrain GmbH & Co KG";"Rotax 912 UL";"";"";"";"";"";"";
"ALPHA Trainer";"Annex I";"Ultralights";"1";"1";"472,50";"False";"False";"False";"1";"1";"ULAC";"2018";"21.05.2018";"Slovenia";"BRP-Powertrain GmbH & Co KG";"Rotax 912 UL";"";"";"";"";"";"";
"AMFI 10";"Annex I";"Airplanes";"1";"0";"500,00";"False";"False";"False";"1";"1";"EXPE";"2000";"22.06.2006";"";"[No Info - Ei tietoa]";"[No Info - Ei tietoa]";"";"";"";"";"";"";
"ApolloFox";"Annex I";"Ultralights";"1";"1";"473,00";"False";"False";"False";"1";"1";"ULAC";"2021";"22.09.2021";"Hungary";"";"Rotax 912 ULS";"";"";"";"";"";"";
"ApolloFox";"Annex I";"Ultralights";"1";"1";"473,00";"False";"False";"False";"1";"1";"ULAC";"2008";"03.07.2017";"";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"ApolloFox";"Annex I";"Ultralights";"1";"1";"473,00";"False";"False";"False";"1";"1";"ULAC";"2011";"16.05.2011";"Hungary";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"ApolloFox";"Annex I";"Ultralights";"1";"1";"473,00";"False";"False";"False";"1";"1";"ULAC";"2011";"16.05.2011";"Hungary";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"ApolloFox";"Annex I";"Ultralights";"1";"1";"473,00";"False";"False";"False";"1";"1";"ULAC";"2010";"17.12.2010";"Hungary";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"ApolloFox";"Annex I";"Ultralights";"1";"1";"495,00";"False";"False";"False";"1";"1";"ULAC";"2013";"26.06.2014";"Hungary";"";"Rotax 912 ULS2";"";"";"";"";"";"";
"ApolloFox";"Annex I";"Ultralights";"1";"1";"473,00";"False";"False";"False";"1";"1";"ULAC";"2013";"30.05.2013";"Hungary";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"ApolloFox";"Annex I";"Ultralights";"1";"1";"450,00";"False";"False";"False";"1";"1";"ULAC";"2013";"30.04.2013";"Hungary";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"ApolloFox";"Annex I";"Ultralights";"1";"1";"473,00";"False";"False";"False";"1";"1";"ULAC";"2012";"23.04.2012";"Hungary";"Bombardier-Rotax GmbH";"Rotax 912 S3";"";"";"";"";"";"";
"Arcus E";"EASA";"Gliders and Powered Gliders";"1";"1";"810,00";"True";"False";"False";"1";"1";"GLID";"2011";"16.05.2012";"Germany";"[No Info - Ei tietoa]";"[No Info - Ei tietoa]";"";"";"";"";"";"";
"Arcus T";"EASA";"Gliders and Powered Gliders";"1";"1";"800,00";"True";"False";"False";"1";"1";"GLID";"2014";"30.04.2014";"Germany";"Solo Kleinmotoren GmbH";"SOLO 2625-02";"";"";"";"";"";"";
"Arrowcopter AC20";"Annex I";"Autogiros";"1";"1";"560,00";"False";"False";"False";"1";"1";"GYRO";"2012";"05.09.2012";"Austria";"Bombardier-Rotax GmbH";"Rotax 914 UL";"";"";"";"";"";"";
