#,REG,MAKE,MODEL,SERIES,MSN,OPERATOR NAME,OPERATOR ADDRESS
30,DQ-PIA,DE-HAVILLAND,DHC-3T SINGLE OTTER,,115,PACIFIC ISLAND AIR LTD,"P.O. BOX 11417, NADI AIRPORT, LONDON AVE, CAAF COMPOUND, NADI, FIJI"
31,DQ-HTM,AEROSPATIALE,AEROSPATIALE AS 355 F1,,5158,JOYCE AVIATION (FIJI) LTD TRADING AS HELITOURS FIJI,"P.O. BOX 97, PORT DENARAU, FIJI"
32,DQ-PFS,BEECHCRAFT,BEECHCRAFT 76,,ME-188,TANDEM SKYDIVE (FIJI) LTD,11 ZAHOOR ROAD
,,,,,,,"MARTINTAR, NADI, FIJI"
33,DQ-OMO,VIKING AIR LIMITED,DHC-6 TWIN OTTER,-400,923,KOKOMO RESORT LIMITED,"OLD GOVERNMENT SUPPLIES YARD, FOSTER STREET, P.O. BOX 3558, WALU BAY, SUVA, FIJI"
34,DQ-HUE,BELL HELICOPTERS TEXTRON INC.,BELL 212,,30655,ISLAND HOPPERS LTD,"HANGAR II, BRADFIELD DRIVE, P.O. BOX 11364"
35,DQ-WPG,"CESSNA AIRCRAFT CO WICHITA, USA",CESSNA 208B GRAND CARAVAN,200,208B5007,ACK AIR PTE LIMITED,"LEVEL 6, FNPF PLAZA, VICTORIA PARADE, SUVA, FIJI"
36,DQ-MIS,CESSNA AIRCRAFT CO.,CESSNA U206F,200,U20602273,HIBISCUS AIR LTD,"P.O. BOX 11131, NADI AIRPORT"
37,DQ-RVD,"CESSNA AIRCRAFT CO WICHITA, USA",CESSNA 172S,100,172S8997,PORTION PAC LTD,"P.O. BOX 190, NADI"
38,DQ-RRD,CESSNA AIRCRAFT CORPORATION,CESSNA 337H,300,33701883,HIBISCUS AIR LTD,"P.O. BOX 11131, NADI AIRPORT"
39,DQ-FIA,CESSNA AIRCRAFT CORPORATION,CESSNA 337D,300,337-1146,HIBISCUS AIR LTD,GRAHAME SOUTHWICK
,,,,,,,"P.O. BOX 1327, NADI AIRPORT"
40,DQ-FIC,BRITTEN NORMAN,BRITTEN NORMAN BN2A-21 ISLANDER,,511,NORTHERN AIR SERVICE CHARTER LTD,"NAUSORI AIRPORT, HANGAR 2, HANGAR RD, P.O. BOX 1749, NAUSORI AIRPORT"
41,DQ-FID,PIPER AIRCRAFT USA,PIPER ANZTEC PA-23-250,,27-3941,AVIATION SERVICES (FIJI) LTD,P.O. BOX 9452
,,,,,,,"LONDON AVENUE, CAAF COMPOUND, NADI, FIJI"
42,DQ-FFF,PACIFIC AEROSPACE LTD,PAC 750 XL,,175,ISLAND HOPPERS LTD,"HANGAR II, BRADFIELD DRIVE, P.O. BOX 11364"
,,,,,,,"NADI AIRPORT, FIJI"
43,DQ-PPT,CESSNA,CESSNA 172N,100,17269223,ADVANCE AVIATION TRAINING FIJI LTD,"P.O. BOX 10864,"
,,,,,,,"NADI AIRPORT, FIJI"
,,,,,,,
44,DQ-HUJ,AIRBUS HELICOPTERS,AS 350 B2,,2408,ISLAND HOPPERS LTD,"HANGAR II, BRADFIELD DRIVE, P.O. BOX 11364"
,,,,,,,"NADI AIRPORT, FIJI"
45,DQ-VXN,AEROPRAKT LTD,AEROPRAKT A32,-,A32-028,VISTA TEK (FIJI) LTD,VICTOR MENKAL
,,,,,,,"P.O. BOX 925, SAVUSAVU, FIJI"
46,DQ-FJO,"AIRBUS, FRANCE",AIRBUS A330,-200,O751,FIJI AIRWAYS,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
47,DQ-FJP,"AIRBUS, FRANCE",AIRBUS A330,-200,O807,FIJI AIRWAYS,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
48,DQ-FJQ,VIKING AIR LIMITED CANADA,DHC- 6 TWIN OTTER,-400,959,FIJI AIRLINES LTD T/A FIJI LINK,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
49,DQ-FJR,VIKING AIR LIMITED CANADA,DHC- 6 TWIN OTTER,-400,958,FIJI AIRLINES LTD T/A FIJI LINK,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
50,DQ-FJJ,CESSNA AIRCRAFT CORP.,CESSNA 336,300,OO2O,MR. J.JOHNSON,"KAIMBA ISLAND RESORT, KAIMBA ISLAND, P.A. FIJI"
51,DQ-FJM,BOEING COMMERCIAL AIRPLANE,BOEING 737 NG,-800,37754,FIJI AIRWAYS,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
52,DQ-FJN,BOEING COMPANY,BOEING 737 NG,-800,34969,FIJI AIRWAYS,"FJ HANGAR, MAINTENANCE & ADMINISTRATION CENTRE, NASOSO RD, NADI, FIJI"
