MMSI,IMO,Status,Name,Callsign,Type,Build Date,Gross Tonnage,Flag,Owner IMO Number,ITU VIN
230217000,,Not Found,AHTELA,OJDL,,,,,,
230225000,,In Service,HELENA,OJDX,Sailing Vessel,,,Finland,,
230226000,8911748,In Service,SHIPPER,OJDM,Ro-Ro Cargo,1992,"6,620",Finland,,
230234000,7636341,In Service,TELEPAATTI,OF3100,Cable Layer,1978,376,Finland,,
230245000,9043615,In Service,FENNICA,OJAD,Tug/Supply Vessel,1993,"9,392",Finland,,
230248000,,In Service,FINNHANSA,OJFG,Passenger,1994,"32,531",Finland,,
230249000,,Not Found,SILJA EUROPA,OJFN,,,,,,
230251000,8518120,In Service,KONTIO,OIRV,Icebreaker,1987,"7,066",Finland,,
230252000,8405880,In Service,OTSO,OIRT,Icebreaker,1986,"7,189",Finland,,
230275000,9056985,In Service,NORDICA,OJAE,Tug/Supply Vessel,1994,"9,392",Finland,,
230276000,,Not Found,KRAFT,OIHG,Tug,,,,,
230279000,7917965,In Service,NEPTUN,OIKS,Tug,1980,324,Finland,,
230281000,,Not Found,PROTECTOR,,Tug,,,Finland,,
230282000,7422386,In Service,PORIN KARHU,OIHF,Tug,1976,289,Finland,,
230283000,,Not Found,FRAM,OITV,,,,,,
230289000,7359656,In Service,SISU,OHMW,Icebreaker,1976,"7,525",Finland,,
230290000,7347615,In Service,URHO,OHMS,Icebreaker,1975,"7,525",Finland,,
230291000,5383158,In Service,VOIMA,OHLW,Icebreaker,1954,"4,159",Finland,,
230296000,,Not Found,JAKOBSTADS WAPEN,OJGG,,,,Finland,,
230301000,9028122,In Service,VARMA,OGOE,Tug,1977,447,Finland,,
230302000,4544080,In Service,MERIKARHU,OJTM,Other,1994,"1,400",Finland,,
230303000,,In Service,TURSAS,OIUI,Law Enforce,,,Finland,,
230304000,,In Service,UISKO,OIUM,Law Enforce,,,Finland,,
230319000,,In Service,FNS POHJANMAA 01,OIMD,Military Ops,1978,,Finland,,
230336000,9113018,In Service,PASILA,OJGT,General Cargo,1995,"10,098",Finland,,
230339000,,Not Found,ZEUS,OJHB,Tug,,,,,
230344000,,Not Found,AUTO BALTIC,OJHE,Cargo,,,,,
230350000,9126223,In Service,LAURA,OJHH,General Cargo,1996,"5,239",Finland,,
230351000,9126235,In Service,HJORDIS,OJHI,General Cargo,1996,"5,239",Finland,,
230352000,9126247,In Service,MARJATTA,OJHJ,General Cargo,1996,"5,239",Finland,,
230353000,8006804,In Service,HYLJE,OIMG,Pollution Control Vessel,1981,726,Finland,,
230354000,8515556,In Service,HALLI,OIMX,Pollution Control Vessel,1987,"1,400",Finland,,
230357000,9122007,In Service,BORE BAY,OJHF,Ro-Ro Cargo,1997,"10,572",Finland,,
230358000,8418174,In Service,RAUTARUUKKI,OJHM,Pusher Tug,1986,"1,554",Finland,,
230361000,8917601,In Service,GABRIELLA,OJHP,Ro-Ro/Passenger Ship,1992,"35,492",Finland,,
230364000,9017367,In Service,NORTHERN CROSS,OJHL,Passenger Ship,1991,330,Finland,,
230366000,,Not Found,BIRKA EXPRESS,OJHS,,,,,,
230367000,,Not Found,FINNCARRIER,OJHT,Ro-Ro Cargo,,,,,
230368000,,Not Found,FINNMASTER,OJHU,Ro-Ro Cargo,,,Finland,,
230370000,,Not Found,RMS CARELIE,OJSL,General Cargo,,,,,
230371000,9213727,In Service,AIRISTO,OJSK,General Cargo,2000,"6,154",Finland,,
230601000,9395276,In Service,AURA,OJMS,Heavy Load Carrier,2008,"3,259",Finland,,
230603000,,Not Found,STENA ARCTICA,OJNH,Oil Tanker,,,,,
230604000,8420713,In Service,RAMONA,OJNN,General Cargo,1985,"1,297",Finland,,
230605000,,Not Found,TRITON,....,,,,,,
230608000,,Not Found,NINA,OJNV,Cargo,,,,,
230613000,9381706,In Service,ALPPILA,OJOF,Bulk Carrier,2011,"14,841",Finland,,
230614000,,Not Found,KRISTINA KATARINA,OJOH,Passenger,,,,,
230616000,9500845,In Service,LOUHI,OJBP,Pollution Control Vessel,2012,"2,400",Finland,,
230617000,9468889,In Service,FINNBREEZE,OJOP,Ro-Ro Cargo,2011,"33,816",Finland,,
230618000,9468891,In Service,FINNSEA,OJOQ,Ro-Ro Cargo,2011,"33,816",Finland,,
230619000,5428233,In Service,AMAZONE,OJOR,Pleasure,1963,132,Finland,,
230620000,,Not Found,BORE SEA,OJOU,Cargo,,,,,
230621000,,Not Found,BORE SONG,OJOW,Ro-Ro Cargo,,,,,
230622000,9468906,In Service,FINNSKY,OJOZ,Ro-Ro Cargo,2012,"33,816",Finland,,
230623000,9468918,In Service,FINNSUN,OJPA,Ro-Ro Cargo,2012,"33,816",Finland,,
230624000,9590797,In Service,ARKADIA,OJPB,Bulk Carrier,2012,"33,958",Finland,,
230625000,9590802,In Service,KUMPULA,OJPC,Bulk Carrier,2012,"33,958",Finland,,
230628000,9214379,In Service,FINLANDIA,OJPP,Ro-Ro/Passenger Ship,2001,"36,365",Finland,,
230629000,9606900,In Service,VIKING GRACE,OJPQ,Ro-Ro/Passenger Ship,2013,"57,565",Finland,,
230630000,,Not Found,PRIMA BALLERINA,OJPR,General Cargo,,,Finland,,
230631000,9468920,In Service,FINNTIDE,OJPS,Ro-Ro Cargo,2012,"33,816",Finland,,
230632000,9468932,In Service,FINNWAVE,OJPT,Ro-Ro Cargo,2012,"33,816",Finland,,
230635000,,Not Found,FINNEAGLE,OJPY,Passenger,,,,,
230636000,,Not Found,WASA EXPRESS,OJQB,Passenger,,,,,
230637000,,Not Found,FINNFELLOW,OJQC,Passenger,,,,,
230638000,,Not Found,FINNSAILOR,OJQE,Passenger,,,,,
230639000,9354284,In Service,BALTIC PRINCESS,OJQF,Ro-Ro/Passenger Ship,2008,"48,915",Finland,,
230642000,9212656,In Service,FINNMILL,OJQG,Ro-Ro Cargo,2002,"25,732",Finland,,
230643000,9212644,In Service,FINNPULP,OJQH,Ro-Ro Cargo,2002,"25,732",Finland,,
230644000,8521464,In Service,LEONARDO,OJQI,Tug,1986,236,Finland,,
230645000,9319064,In Service,KALLIO,OJQJ,General Cargo,2006,"16,690",Finland,,
230648000,,Not Found,CORINNE,OJQU,General Cargo,,,,,
230649000,9086605,In Service,MARILIE,OJQV,General Cargo,1995,"2,561",Finland,,
230650000,,Not Found,FINNMERCHANT,OJQW,Container,,,Finland,,
230651000,,Not Found,POLARIS VG,OJQX,Ro-Ro Cargo,,,,,
230652000,9186182,In Service,NORSKY,OJRB,Ro-Ro Cargo,1999,"20,296",Finland,,
230653000,9186194,In Service,NORSTREAM,OJRC,Ro-Ro Cargo,1999,"20,296",Finland,,
230656000,,Not Found,MARTTA VG,OJRE,General Cargo,,,,,
230657000,,Not Found,JESSICA,OJRF,Cargo,,,,,
230659000,,Not Found,BALTICA,OJRI,Ro-Ro Cargo,,,,,
230661000,9734161,In Service,POLARIS,OJQT,Icebreaker,2016,"9,333",Finland,,
230662000,9769116,In Service,MIRVA VG,OJRN,General Cargo,2016,"3,405",Finland,,
230663000,9769104,In Service,EEVA VG,OJRM,General Cargo,2016,"3,405",Finland,,
230664000,4542642,In Service,POHJANMERI,OJRO,Research/Survey Vessel,1979,"1,582",Finland,,
230666000,9100138,In Service,BALTIC MADONNA,OJRV,Cargo/Containership,1994,"2,854",Finland,,
230670000,9797620,In Service,VIIKKI,OJSD,General Cargo,2018,"19,955",Finland,,
230671000,9336256,In Service,FINNSWAN,OJSF,Ro-Ro/Passenger Ship,2007,"45,923",Finland,,
230673000,9194282,In Service,PRIMA QUEEN,OJSH,General Cargo,2000,"2,450",Finland,,
230675000,,Not Found,AURORA,OJSJ,General Cargo,,,Finland,,
230676000,,Not Found,BOTHNIA,OJSI,General Cargo,,,Finland,,
230681000,8618035,In Service,NINA,OJNV,General Cargo,1987,"2,006",Finland,,
230682000,,Not Found,ANTONIA,OJSR,General Cargo,,,,,
230683000,9797632,In Service,HAAGA,OJSS,General Cargo,2018,"19,955",Finland,,
230684000,8820858,In Service,TRANSPORTER,OJCW,Ro-Ro Cargo,1991,"6,620",Finland,,
230685000,9181106,In Service,FINBO CARGO,OJST,Ro-Ro/Passenger Ship,2000,"22,152",Finland,,
230689000,9797814,In Service,UIKKU,OJTI,Oil/Chemical Tanker,2018,"14,402",Finland,,
230690000,9797802,In Service,LUNNI,OJTJ,Oil/Chemical Tanker,2018,"14,402",Finland,,
230693000,9195652,In Service,PRIMA LADY,OJTT,General Cargo,1999,"2,548",Finland,,
230903000,,Not Found,FINNARROW,OJIG,,,,,,
230904000,,Not Found,BOTNICA,OJAK,,,,,,
230906000,,Not Found,MV-OTANIEMI,OJEI,,,,,,
230907000,,Not Found,NORDLANDIA,OJGN,,,,,,
230911000,,Not Found,SUUNTA,OHMT,,,,,,
230915000,,Not Found,AUTO BANK,OJIE,Vehicles Carrier,,,,,
230916000,9173692,In Service,TALI,OJIH,General Cargo,1998,"10,098",Finland,,
230917000,9181077,In Service,ESTRADEN,OJIL,Ro-Ro Cargo,1999,"18,205",Finland,,
230925000,9183788,In Service,MISTRAL,OJIX,Ro-Ro Cargo,1999,"10,471",Finland,,
230926000,,Not Found,MIRANDA,OJIY,Ro-Ro Cargo,,,,,
230927000,9198977,In Service,SEAGARD,OJIW,Ro-Ro Cargo,1999,"10,488",Finland,,
230931000,5400267,In Service,AJAX,OJGZ,Tug,1963,288,Finland,,
230934000,5233547,In Service,METEOR,OJJO,Tug,1690,396,Finland,,
230935000,9225299,In Service,EIRA,OJJP,General Cargo,2001,"14,665",Finland,,
230936260,,In Service,AFRODITE,OJ6197,Pleasure Craft,,,Finland,,
230936890,,In Service,ROSINANTE,OJ3453,Sailing Vessel,1982,,Finland,,
230938570,5001839,In Service,BISON,OJNE,Tug,1962,280,Finland,,
230939000,,Not Found,TRANSLANDIA,OJJR,,,,,,
230940000,,In Service,CLEOPATRA,OJJS,Cargo,,,Finland,,
230941050,7392309,In Service,LAGUNA,OJ9406,Trawler,1974,441,Finland,,
230941090,,In Service,IHANA,OJOV,Passenger,,,Finland,,
230941110,,Not Found,AKU,OJON,,,,,,
230941210,,Not Found,TRADER,OJOT,,,,,,
230941680,,Not Found,SERAFINA,OJPF,,,,,,
230941690,,Not Found,WIND SERVANT,OJPI,,,,Finland,,
230941700,9622502,In Service,MERI,OJPH,Heavy Load Carrier,2012,"3,360",Finland,,
230941840,,In Service,TOKIO II,OH2374,Sailing Vessel,,,Finland,,
230942670,,In Service,MURU,OH3602,Pleasure Craft,,,Finland,,
230942840,9707091,In Service,OTAVA,OJQL,Ro-Ro/Passenger Ship,2014,342,Finland,,
230944000,,Not Found,TEMPERA,OJKD,Tanker,,,,,
230945000,,Not Found,MASTERA,OJKE,Oil Tanker,,,,,
230946000,9230244,In Service,UKKO,OJIJ,Tug,2002,583,Finland,,
230947000,9230256,In Service,AHTI,OJJQ,Tug,2002,583,Finland,,
230948000,,Not Found,CONTAINERSHIPS VII,OJKI,Container,,,,,
230951000,,Not Found,PURHA,OJKS,Tanker,,,,,
230952000,,Not Found,JURMO,OJKT,Tanker,,,,,
230954000,,Not Found,JOSEFINE,OJKU,,,,,,
230956000,9267558,In Service,KIISLA,OJKY,Oil/Chemical Tanker,2004,"9,910",Finland,,
230957000,9267560,In Service,SUULA,OJKZ,Oil/Chemical Tanker,2005,"9,910",Finland,,
230964000,,Not Found,FUTURA,OJLH,Oil/Chemical Tanker,,,,,
230965000,,Not Found,NESTE,OJLI,Oil/Chemical Tanker,,,,,
230969000,,Not Found,RG1,OJLO,,,,,,
230975000,,Not Found,CHRISTA,OJLZ,,,,,,
230977000,,Not Found,CARISSA,OJMC,,,,,,
230979000,,Not Found,CELIA,OJME,Cargo,,,,,
230981000,9319442,In Service,FINNSTAR,OJMH,Ro-Ro/Passenger Ship,2006,"45,923",Finland,,
230982000,9319466,In Service,FINNMAID,OJMI,Ro-Ro/Passenger Ship,2006,"45,923",Finland,,
230984000,9354325,In Service,LINDA,OJML,Container Ship,2007,"9,131",Finland,,
230985000,9354337,In Service,AILA,OJMM,Container Ship,2007,"9,131",Finland,,
230985150,7341166,In Service,HECTOR,OJKQ,Tug,1975,333,Finland,,
230985760,,In Service,ORION,OJ2714,Local Vessel,,,Finland,,
230986000,,Not Found,BALTIC EXCELLENT,OJMP,,,,,,
230987000,9336268,In Service,FINNLADY,OJMQ,Ro-Ro/Passenger Ship,2007,"45,923",Finland,,
230987140,8719152,In Service,OLYMPOS,OI7939,Trawler,1989,427,Finland,,
230987510,7602170,In Service,KLONDYKE,OJ3136,Fishing Vessel,1976,352,Finland,,
230987660,,Not Found,NATHALIE,OJLP,General Cargo,,,,,
230987940,,In Service,JOANNA SATURNA,OJ2044,Sailing Vessel,1903,,Finland,,
230988000,,Not Found,STENA POSEIDON,OJMN,Bulk Carrier,,,,,
230989000,,Not Found,PALVA,OJMR,,,,,,
230989850,,Not Found,SABINA,OJMJ,,,,,,
230991000,,In Service,TELEMAR,OH2277,Other,,,Finland,,
230992000,,Not Found,ALHOLMEN,OJMZ,,,,,,
230993000,8806072,In Service,RIONA,OJNA,General Cargo,1988,910,Finland,,
230993680,7935292,In Service,AIRISTO,OHMR,Research/Survey Vessel,1972,288,Finland,,
230994000,9348936,In Service,MISANA,OJNB,Ro-Ro Cargo,2007,"15,586",Finland,,
230995000,9348948,In Service,MISIDA,OJNC,Ro-Ro Cargo,2007,"15,586",Finland,,
230997210,,In Service,FNS HAMEENMAA 02,OJBF,Military Ops,,,Finland,,
230997240,,In Service,FNS UUSIMAA 05,OJBM,Military Ops,,,Finland,,
230997540,,In Service,FNS PANSIO,OJBD,Military Ops,,,Finland,,
230997550,,In Service,PYHARANTA,OJBG,Military Ops,,,Finland,,
230998000,,Not Found,SWEGARD,OJNF,,,,,,
230998610,,In Service,FEELINGS,OG7027,Sailing Vessel,1977,11,Finland,,
230999000,,Not Found,FINGARD,OJNG,,,,,,
231002000,9121998,In Service,MYKINES,OZ2169,Vehicles Carrier,1996,"18,979",Faroe Is,,
231006000,7617747,In Service,TJALDRID,XPRT,Tug,1976,453,Faroe Is,,
231009000,9258820,In Service,BAKUR,OW2325,Trawler,2002,464,Faroe Is,,
231010000,9258818,In Service,STELKUR,OW2218,Trawler,2002,464,Faroe Is,,
231011000,,In Service,ICEFJORD,LEHB,Fishing,,,Faroe Is,,
231013000,,Not Found,THOR ASSISTER,OZ2061,Supply,,,,,
231015000,,Not Found,ATLANTIC,OZ2060,Cargo,,,,,
231019000,,Not Found,NORDBUGVIN,OW2096,Supply,,,Faroe Is,,
231021000,,Not Found,VARDBORG,XPPI,Fishing,,,,,
231022000,,Not Found,SARDIS,OW2305,N/A,,,,,
231023000,9155963,In Service,LISTER,OZ2163,General Cargo,1997,"2,863",Faroe Is,,
231024000,,Not Found,LOMUR,OZ2002,General Cargo,,,Faroe Is,,
231025000,9136216,In Service,LISTERVIK,OZ2165,General Cargo,1996,"2,863",Faroe Is,,
231026000,,Not Found,LISTERLAND,OZ2170,General Cargo,,"2,735",Faroe Is,,
231027000,8000135,In Service,TOPAS,OW2298,Trawler,1980,215,Faroe Is,,
231037000,8516794,In Service,STEINTOR,OW2380,Trawler,1985,828,Faroe Is,,
231041000,,Not Found,MAGNUS HEINASON,,,,,,,
231045000,8816974,In Service,ENNIBERG,XPXL,Trawler,1990,"2,578",Faroe Is,,
231048000,7338767,In Service,KRONOS,OZ2015,General Cargo,1964,407,Faroe Is,,
231049000,9255232,In Service,TUMMAS T,XPKF,Fishing Vessel,2002,"1,514",Faroe Is,,
231065000,9591923,In Service,SJOBORG,OZ2075,Offshore Supply Ship,2012,"4,000",Faroe Is,,
231067000,9909845,In Service,AKRABERG,OW2087,Fishing Vessel,2022,"4,370",Faroe Is,,
231069000,8714293,In Service,SANDSHAVID,XPRK,Fishing Vessel,1988,765,Faroe Is,,
231074000,9458559,In Service,THOR ALPHA,OZ2070,Offshore Supply Ship,2008,"1,051",Faroe Is,,
231076000,,Not Found,STRIL MERKUR,OZ2152,Supply,,,,,
231084000,8516811,In Service,BRESTIR,OW2387,Trawler,1986,993,Faroe Is,,
231085000,9487823,In Service,THOR OMEGA,OZ2065,Offshore Supply Ship,2008,"1,153",Faroe Is,,
231087000,,Not Found,LERKUR,XPQK,N/A,,,,,
231090000,,Not Found,VESTURLEIKI,OW2336,Fishing,,,,,
231092000,5370620,In Service,MAX,OZ2062,Patrol Vessel,1961,337,Faroe Is,,
231099000,8719097,In Service,HAV NES,OZ2088,General Cargo,1991,"2,026",Faroe Is,,
231100000,5428817,In Service,THOR,XPMB,Fishing Vessel,1963,292,Faroe Is,,
231103000,,Not Found,SILVER LAKE,OZ2159,Reefer,,,,,
231104000,,Not Found,KAPPIN,OW2083,Cargo,,,Faroe Is,,
231105000,8825913,In Service,FRAM,OW2100,Trawler,1988,481,Faroe Is,,
231106000,8825901,In Service,FUGLBERG,OW2097,Trawler,1989,481,Faroe Is,,
231108000,8719073,In Service,HAV SAGA,OZ2186,General Cargo,1990,"2,030",Faroe Is,,
231111000,,In Service,INGA,OW2217,Dredger,,,Faroe Is,,
231114000,9006289,In Service,VITIN,OZ2150,Cargo/Containership,1992,"2,449",Faroe Is,,
231117000,6727363,In Service,VIKINGUR,OW2188,General Cargo,1967,181,Faroe Is,,
231120000,9722821,In Service,HANS A BAKKA,OZ2202,Fish Carrier,2015,"3,564",Faroe Is,,
231121000,9216767,In Service,BRIMIL,XPYM,Patrol Vessel,2000,"1,503",Faroe Is,,
231123000,9433456,In Service,SELFOSS,OZ2171,Container Ship,2008,"7,464",Faroe Is,,
231124000,,,SJURDABERG,OW2408,,,,,,
231127000,,Not Found,THOR GOLIATH,OZ2034,,,,Faroe Is,,
231130000,9226102,In Service,TEISTIN,OW2190,Ro-Ro/Passenger Ship,2001,"1,260",Faroe Is,,
231132000,,Not Found,NAERABERG,OW2072,Fishing,,,,,
231133000,7628617,In Service,OKNIN FD543,OW2045,Fishing Vessel,1977,342,Faroe Is,,
231134000,7742097,In Service,VADASTEINUR,OW2185,Fishing Vessel,1977,401,Faroe Is,,
231141000,,Not Found,VINGA SAFIR,OZ2136,Tanker,,,,,
231146000,7007069,In Service,POLARSTJORNAN,OW2319,Fishing Vessel,1970,417,Faroe Is,,
231150000,8802416,In Service,KVIKK,OW 2426,Fishing Vessel,1987,163,Faroe Is,,
231167000,6403448,In Service,BORDOYARNES,XPPE,Fishing Vessel,1963,327,Faroe Is,,
231191000,9020974,In Service,EYSTURBUGVIN,OW2487,Trawler,1991,535,Faroe Is,,
231196000,9166118,In Service,JOGVAN I,OW2049,Fishing Vessel,1998,"1,001",Faroe Is,,
231199000,9020986,In Service,VESTURBUGVIN,OW2493,Trawler,1991,535,Faroe Is,,
231200000,9227390,In Service,NORRONA,OZ2040,Ro-Ro/Passenger Ship,2003,"35,966",Faroe Is,,
231201000,7915541,In Service,HVITANES,OZ2084,Ro-Ro/Passenger Ship,1980,"4,636",Faroe Is,,
231205000,,In Service,LEITISTEINUR,OW2021,Fishing,,,Faroe Is,,
231209000,,Not Found,NORDVIK,XPRK,Cargo,,,Faroe Is,,
231211000,,Not Found,SC NORDIC,OZ2140,Cargo,,,,,
231212000,,Not Found,FISKIMULI,OW2035,,,,Faroe Is,,
231213000,,In Service,LIDHAMAR,XPTR,Fishing,,,Faroe Is,,
231251000,9126625,In Service,HAV STREYM,OZ2144,General Cargo,1996,"2,345",Faroe Is,,
231254000,,Not Found,FRIDBORG,OW2116,N/A,,,,,
231257000,8819275,In Service,SCOMBRUS,OZ2162,Refrigerated Cargo Ship,1991,"5,084",Faroe Is,,
231265000,89996906,In Service,SIGATINDUR,XPXW,Trawler,2005,119,Faroe Is,,
231292000,,Not Found,ANTARES,,,,,Faroe Is,,
231295000,,Not Found,STRIL MARINER,OZ2083,Supply,,,,,
231299000,,In Service,DRAGIN,XPXH,Sailing Vessel,,,Faroe Is,,
231300000,9275218,In Service,SMYRIL,XPWG,Ro-Ro/Passenger Ship,2005,"12,670",Faroe Is,,
231307000,9279238,In Service,FINNUR FRIDI,XPXP,Fishing Vessel,2003,"2,779",Faroe Is,,
231319000,,Not Found,CECILIA,OZ2157,Supply,,"1,310",Faroe Is,,
231320000,5125855,In Service,FOX,OZ2074,Patrol Vessel,1960,333,Faroe Is,,
231326000,9295804,In Service,POLARHAV,XPVI,Fishing Vessel,2004,592,Faroe Is,,
231327000,9295799,In Service,STJORNAN,XPVT,Fishing Vessel,2004,592,Faroe Is,,
231337000,,Not Found,HELENE,OZ2046,,,,Faroe Is,,
231343000,,Not Found,SKOERIN,XPYI,Fishing,,436,Faroe Is,,
231355000,9306005,In Service,ARNARFELL,OZ2048,Container Ship,2005,"8,890",Faroe Is,,
231356000,9306017,In Service,HELGAFELL,OZ2049,Container Ship,2005,"8,890",Faroe Is,,
231371000,8996918,In Service,SKALAFOSSUR,XPYC,Trawler,2005,113,Faroe Is,,
231379000,,In Service,SILJA STAR,XPZL,Passenger,,,Faroe Is,,
231391000,,In Service,23139 0,,Unspecified,,,Faroe Is,,
231394000,,Not Found,LAURA,OZ2055,Standby/Safety,,,,,
231413000,,Not Found,HAVFRAKT,OZ2056,General Cargo,,,,,
231429000,,Not Found,THOR BEAMER,OZ2058,Research,,,,,
231523000,8417259,In Service,EIKEFJORD,OZ2063,General Cargo,1985,"1,254",Faroe Is,,
231541000,9350238,In Service,MARTIN,OZ2204,Utility Vessel,2005,"2,466",Faroe Is,,
231565000,7827249,In Service,HAV TIND,XPKE,General Cargo,1979,909,Faroe Is,,
231595000,,In Service,RESCUE LIV,XPUM,SAR,,,Faroe Is,,
231605000,9667760,In Service,KONGSBORG,OZ2145,Offshore Supply SHip,2013,"4,075",Faroe Is,,
231613000,8912493,In Service,BAL BULK,OZ2073,General Cargo,1990,"1,524",Faroe Is,,
231670000,,Not Found,FURE FLADEN,OZ2155,Oil/Chemical Tanker,,,,,
231685000,,Not Found,MALTA CEMENT,,Cargo,,,,,
231695000,,Not Found,FURE FERDER,OZ2154,Oil/Chemical Tanker,,,Faroe Is,,
231700000,9451422,In Service,ELDBORG,OZ2077,Offshore Supply SHip,2009,"2,814",Faroe Is,,
231701000,,Not Found,FUREVIK,OZ2082,Oil/Chemical Tanker,,,,,
231710000,,Not Found,FURE SUN,OZ2079,Tanker,,,,,
231711000,,Not Found,NORDKINN,OZ2080,Reefer,,,,,
231712000,,Not Found,EL NINO,OZ2081,Cargo,,,,,
231734000,,Not Found,FURENAS,OZ2085,Tanker,,,,,
231745000,,Not Found,KAROLINE,OZ2086,Standby/Safety,,,,,
231748000,,In Service,KVITBJOER,OZ2090,Cargo,1979,"2,503",Faroe Is,,
231754000,,Not Found,NORTHERN OCEAN,OZ2091,Oil/Chemical Tanker,,,,,
231755000,,Not Found,POLARFRONT,OZ2092,Research,,,,,
231758000,,Not Found,KARMSUND,OZ2093,Cargo,,,,,
231759000,,Not Found,TRADER BULK,OZ2094,Cargo,,,,,
231763000,8913904,In Service,QUEST,OZ2178,Passenger Ship,1991,"1,268",Faroe Is,,
231766000,8400050,In Service,SILVER PEARL,OZ2096,Reefer,1986,"3,968",Faroe Is,,
231770000,,Not Found,KVITNOS,OZ2149,Ro-Ro Cargo,,,,,
231772000,,Not Found,FURE NORD,OZ2099,Tanker,,,,,
231774000,7922166,In Service,EYSTNES,OZ2101,Ro-Ro/Container Carrier,1981,"4,610",Faroe Is,,
231775000,,Not Found,FURE WEST,OZ2100,Oil/Chemical Tanker,,,,,
231781000,,Not Found,FRANKLIN,OZ2102,Research,,,,,
231785000,,Not Found,LAXFOSS,OZ2188,Container,,,,,
231788000,,Not Found,GODAFOSS,OZ2189,Container,,,,,
231789000,9641314,In Service,LAGARFOSS,OZ2187,Container Ship,2014,"10,119",Faroe Is,,
231790000,9341160,In Service,SUNNANHAV,OZ2103,General Cargo,2006,"5,325",Faroe Is,,
231791000,9341172,In Service,KALKVIK,OZ2104,General Cargo,2007,"5,325",Faroe Is,,
231792000,,Not Found,HARENGUS,OZ2168,Reefer,,,,,
231793000,,Not Found,MORNES,OZ2106,Bulk Carrier,,"5,385",Faroe Is,,
231794000,9020285,In Service,NAVEN,OZ2107,General Cargo,1991,"2,497",Faroe Is,,
231800000,9818319,In Service,SNOW CRYSTAL,OZ2177,General Cargo,2017,"2,990",Faroe Is,,
231802000,,Not Found,BONDEN,OZ2111,Tug,,,,,
231804000,,Not Found,DYNAN,OZ2113,Tug,,,,,
231805000,9175262,In Service,FREJA,OZ2114,Tug,1998,467,Faroe Is,,
231806000,,Not Found,KUBILAI KHAN,OZ2166,General Cargo,,,,,
231808000,,Not Found,SVITZER TRYM,OZ2117,,,,,,
231809000,9548342,In Service,SVITZER TYR,OZ2118,Tug,2010,641,Faroe Is,,
231812000,8719085,In Service,HAV NORDIC,OZ2119,General Cargo,1990,"2,030",Faroe Is,,
231815000,9818321,In Service,ICE CRYSTAL,OZ2179,General Cargo,2018,"3,618",Faroe Is,,
231818000,9043459,In Service,LUNA,OZ2180,LPG Tanker,1993,"2,223",Faroe Is,,
231823000,,Not Found,VESTLAND,OZ2120,,,,,,
231834000,8124474,In Service,HAV SAND,OZ2121,General Cargo,1982,"1,692",Faroe Is,,
231837000,8719114,In Service,HAV SKANDIC,OZ2147,General Cargo,1993,"2,026",Faroe Is,,
231839000,,Not Found,NORDANHAV,OZ2125,Bulk Carrier,,,,,
231840000,8902589,In Service,TIDAN,OZ2126,General Cargo,1990,"2,250",Faroe Is,,
231841000,8814536,In Service,NOSSAN,OZ2127,General Cargo,1990,"2,248",Faroe Is,,
231842000,,Not Found,OSTANHAV,OZ2128,Bulk Carrier,,,,,
231843000,9263564,In Service,EKEN,OZ2129,General Cargo,2003,"2,556",Faroe Is,,
231844000,,Not Found,VINGAREN,OZ2131,General Cargo,,,,,
231845000,,Not Found,MOKOSICA,OZ2133,General Cargo,,,,,
231849000,9114359,In Service,SKULD,OZ2143,Tug,1996,485,Faroe Is,,
231850000,9535292,In Service,SAEBORG,OZ2076,Offshore Supply Ship,2011,"3,260",Faroe Is,,
231851000,9644445,In Service,TORSBORG,OZ2130,Offshore Supply Ship,2012,"3,309",Faroe Is,,
231855000,9197454,In Service,BEKAU,OZ2195,General Cargo,2005,"2,461",Faroe Is,,
231860000,9822853,In Service,DETTIFOSS,OZ2185,Container Ship,2020,"26,169",Faroe Is,,
231861000,9147150,In Service,VESTMENNINGUR,OW2041,Trawler,1996,"2,060",Faroe Is,,
232000420,8404812,In Service,HEBRIDEAN ISLES,GFMJ,Ro-Ro/Passenger Ship,1985,"3,040",United Kingdom,,
232000570,8817722,In Service,ARCO BECK,MHWW8,Hopper Dredger,1989,"3,325",United Kingdom,,
232000790,8902278,In Service,CITY OF WESTMINSTER,MLLN8,Suction Dredger,1990,"3,914",United Kingdom,,
232000840,9001667,In Service,BRITANNIA BEAVER,MNEV2,Suction Dredger,1991,"3,610",United Kingdom,,
232001040,,Not Found,EUROPEAN SEAWAY,MPDG3,Ro-Ro Cargo,,"1,800",United Kingdom,,
232001060,,Not Found,PRIDE OF CANTERBURY,MPQZ6,Passenger,,"22,986",United Kingdom,,
232001170,,Not Found,ARCO ADUR,MJDB2,Dredger,,62,United Kingdom,,
232001240,8508383,In Service,ARCO AVON,GGNV,Suction Dredger,1986,"3,474",United Kingdom,,
232001250,,Not Found ,ARCO ARUN,GGNN,Dredger,,,,,
232001260,,Not Found ,ARCO AXE,MKXH8,Dredger,,6,United Kingdom,,
232001270,7527796,In Service,SCILLONIAN III,GWOS,Passenger/Cargo Ship,1977,"1,346",United Kingdom,,
232001340,,Not Found,SAND WEAVER,GURL,,,"3,366",United Kingdom,,
232001470,,Not Found,PRIDE OF BURGUNDY,MQSQ9,Passenger,,"22,986",United Kingdom,,
