MMSI,IMO,Status,Name,Callsign,Type,Build Date,Gross Tonnage,Flag,Owner IMO Number,ITU VIN
205388000,8977285,In Service,DOUCE FRANCE,ONAD,Sailing,1998-10,218,Belgium,5111839,
205393000,9279123,In Service,PALLIETER,ORKV,Dredger,2004-01,"5,086",Belgium,6267752,
205395000,,Not Found,MINERAL NOBLE,ONAN,Bulk Carrier,,,,,
205396000,,Not Found,POLYBOTES,ONCK,Ro-Ro Cargo,,,,,
205400000,,Not Found,MINERAL BEIJING,ONAR,Bulk Carrier,,,,,
205408000,,Not Found,EUROPE,ONCP,Oil Tanker,,,,,
205416000,9314284,In Service,UNION RUBY,OROD,Tug,2005-05,493,Belgium,1858276,
205417000,9314296,In Service,UNION EMERALD,OROE,Tug,2005-09,493,Belgium,1848276,
205420000,,Not Found,MINERAL TIANJIN,ONBF,Bulk Carrier,,,,,
205421000,9230050,In Service,EXCALIBUR,ONCE,LNG Tanker,2002-10,"93,786",Belgium,5825389,
205423000,9239616,In Service,EXCELSIOR,ONCD,LNG Tanker,2005-01,"93,719",Belgium,6075532,
205423710,,Not Found,LA BELLE BLANCHE,OR4237,Yacht,,,,,
205427000,,Not Found,NOVA STAR,OS4270,Yacht,,,,,
205430000,,Not Found,LOWLANDS LONGEVITY,ONDE,Bulk Carrier,,,,,
205434000,9252539,In Service,EXCELLENCE,ONBG,LNG Tanker,2005-05,"93,937",Belgium,6127412,
205437000,,Not Found,BRUSSELS,ONDF,LPG Tanker,,,,,
205438000,,Not Found,TI TOPAZ,ONDI,Oil Tanker,,,,,
205439000,,Not Found,MARCEL,ONDP,General Cargo,,,,,
205440000,,Not Found,TI HELLAS,ONDQ,Oil Tanker,,,,,
205445000,9322255,In Service,SUMMIT LNG,ONDY,LNG Tanker,2006-10,"93,901",Belgium,6075550,
205446000,,Not Found,PEARL RIVER,ORWP,Dredger,,,,,
205450000,,Not Found,CELESTINE,ONDJ,Ro-Ro Cargo,,,,,
205451000,9125384,In Service,CLEMENTINE,ONDK,Ro-Ro Cargo,1997-02,"23,986",Belgium,5429251,
205452690,9445825,In Service,SINJOOR,OT4526,Oil Tanker,2009-07,,Belgium,5967836,
205453000,9166637,In Service,MELUSINE,ONDM,Ro-Ro Cargo,1999-04,"23,987",Belgium,5429251,
205454000,,Not Found,SMIT KAMARA,ORLB,Supply,,,,,
205454490,,Not Found,QUENYA,OT4544,Container,,,,,
205455000,,Not Found,PANTAGRUELE,ORTG,Dredger,,,,,
205460000,9292761,In Service,LIBRAMONT,ONCV,LPG Tanker,2006-05,"25,994",Belgium,5059676,
205461000,,Not Found,VALENTINE,ONDL,Ro-Ro Cargo,,,,,
205463000,,Not Found,CMB BIWA,ONED,Bulk Carrier,,,,,
205465000,9136101,In Service,FAST JEF,ONEE,General Cargo,1996-09,"2,066",Belgium,5246507,
205466000,,Not Found,SMIT ORCA,ORNX,Tug,,,,,
205469000,,In Service,SPN09,ORBL,Law Enforce,,,Belgium,,
205476000,,Not Found,CELANDINE,ONDN,Ro-Ro Cargo,,,,,
205477000,9085455,In Service,FAST SAM,ONEJ,General Cargo,1994-01,"1,983",Belgium,5246507,
205481000,9432799,In Service,BELLE  L  ADRIATIQUE,ONEN,Passenger,2007-09,"2,995",Belgium,6141005,
205482000,9136096,In Service,FAST SUS,ONEO,General Cargo,1996-04,"2,055",Belgium,5246507,
205483000,9397121,In Service,UNION GRIZZLY,OROL,Tug,2007-07,473,Belgium,1858276,
205487000,,Not Found,MINERAL WATER,ONEQ,Bulk Carrier,,,,,
205489000,8415184,In Service,MARSCHENLAND,ONES,Cargo,1985,"1,373",Belgium,,
205501000,,Not Found,BRABO,ORON,Dredger,,,,,
205505000,,Not Found,PANAMA EXPRESS,ONFD,General Cargo,,,,,
205506000,9361079,In Service,EXPLORER,ONFE,Gas Processing Vessel	,2008-04,"102,777",Belgium,6072161,
205509000,,Not Found,VICTORINE,ONDO,Ro-Ro Cargo,,,,,
205517000,9380738,In Service,CAP FELIX,ONFH,Oil Tanker,2008-04,"81,324",Belgium,1950845,
205519000,,Not Found,MINERAL KYOTO,ONFI,Bulk Carrier,,,,,
205520000,9382384,In Service,BREYDEL,OROS,Dredger,2008-04,"11,136",Belgium,0177815,
205521000,8411229,In Service,MARIABURG,ONFJ,General Cargo,1985,"1,372",Belgium,,
205523690,2317597,In Service,ARIEL,OT5236,General Cargo,,,Belgium,,
205524010,,In Service,TI BAG II,OR5240,Sailing,,,Belgium,,
205526000,9361445,In Service,EXPRESS,ONFL,LNG Tanker,2009-05,"100,325",Belgium,6072158,
205533000,,In Service,FAST JULIA,ONFO,General Cargo,,,Belgium,,
205535000,,In Service,LOWLANDS ORCHID,ONFP,Bulk Carrier,,,Belgium,,
205538000,9545651,In Service,ALBATROS,ORPB,Dredger,2009-07,693,Belgium,1332988,
205539000,,In Service,CATHERINE,ONFR,Ro-Ro Cargo,,,Belgium,,
205543000,,In Service,EUPEN,ONCS,LPG Tanker,,,Belgium,,
205545190,,In Service,QILAK,OT5451,Sailing,,,Belgium,,
205547000,,In Service,BRASSCHAAT,ONFU,Bulk Carrier,,,Belgium,,
